bowler,ball_total,ball_dot,dot_percentage
PP Chawla,3895,1325,34.017971758664956
SC Kuggeleijn,50,17,34.0
MM Sharma,2308,782,33.882149046793764
AS Rajpoot,567,192,33.86243386243386
RD Chahar,1697,574,33.82439599292869
AS Roy,142,48,33.80281690140845
Ravi Bishnoi,1460,492,33.6986301369863
SJ Srivastava,306,103,33.66013071895425
V Pratap Singh,211,71,33.649289099526065
P Suyal,107,36,33.64485981308411
M de Lange,116,39,33.62068965517241
Washington Sundar,1064,356,33.45864661654135
LR Shukla,326,109,33.43558282208589
VY Mahesh,359,120,33.42618384401114
JH Kallis,1799,601,33.407448582545854
JP Duminy,701,234,33.38088445078459
AU Rashid,60,20,33.33333333333333
GR Napier,24,8,33.33333333333333
NL McCullum,30,10,33.33333333333333
MJ Suthar,12,4,33.33333333333333
D Brevis,3,1,33.33333333333333
CJ McKay,42,14,33.33333333333333
SA Yadav,6,2,33.33333333333333
Noor Ahmad,513,171,33.33333333333333
S Randiv,180,60,33.33333333333333
Umar Gul,153,51,33.33333333333333
RS Gavaskar,6,2,33.33333333333333
MJ Clarke,66,22,33.33333333333333
Gurnoor Brar,21,7,33.33333333333333
AM Rahane,6,2,33.33333333333333
Shakib Al Hasan,1515,504,33.26732673267327
YK Pathan,1184,393,33.192567567567565
R Ashwin,4679,1552,33.16948065826031
AN Ahmed,362,120,33.14917127071823
BE Hendricks,157,52,33.12101910828025
Harpreet Brar,692,229,33.09248554913295
Ankit Soni,112,37,33.035714285714285
AD Russell,1771,584,32.975719932241674
YS Chahal,3628,1194,32.91069459757442
G Coetzee,216,71,32.870370370370374
JD Ryder,241,79,32.780082987551864
S Narwal,113,37,32.743362831858406
SB Joshi,55,18,32.72727272727273
Naveen-ul-Haq,407,133,32.67813267813268
Imran Tahir,1340,437,32.61194029850746
STR Binny,611,199,32.56955810147299
BB Sran,516,168,32.55813953488372
RS Hangargekar,43,14,32.55813953488372
SM Boland,43,14,32.55813953488372
KR Sen,255,83,32.549019607843135
RE van der Merwe,455,148,32.527472527472526
Mujeeb Ur Rahman,452,147,32.52212389380531
Arshdeep Singh,1453,472,32.48451479697178
Shivam Sharma,114,37,32.45614035087719
AR Patel,3152,1021,32.392131979695435
HH Pandya,1485,481,32.390572390572395
S Kaushik,210,68,32.38095238095238
JDP Oram,244,79,32.37704918032787
P Negi,733,237,32.33287858117326
Anureet Singh,430,139,32.325581395348834
M Kartik,1182,382,32.31810490693739
Kartik Tyagi,458,148,32.314410480349345
SN Thakur,1979,639,32.289034866093985
J Suchith,434,140,32.25806451612903
GD Phillips,31,10,32.25806451612903
C Green,462,149,32.25108225108225
